Source_File,Text_ID,Content_Type,Author,Date,Text,Engagement,Thread_ID,clean_text
全运会2.txt,Reply_06_034,Reply,嗯哼,2025-11-10广东, 夹心饼干  蹲,,全运会2_Thread_06, 夹心饼干 蹲
全运会2.txt,Comment_06_037,Comment,,2025-11-10山东, 夹心饼干  sx我,,全运会2_Thread_06, 夹心饼干 sx我
全运会2.txt,Comment_06_040,Comment,,2025-11-10山东, 嗯哼  sx我,,全运会2_Thread_06, 嗯哼 sx我
全运会2.txt,Comment_06_042,Comment,炒鸡大儿童,2025-11-11浙江,求进群！,,全运会2_Thread_06,求进群！
全运会2.txt,Comment_06_046,Comment,大王嘎子,2025-11-09广东,明天早上有没有,,全运会2_Thread_06,明天早上有没有
全运会2.txt,Comment_06_058,Comment,任遥遥,2025-11-06广东,蹲，求t,,全运会2_Thread_06,蹲，求t
全运会2.txt,Comment_06_072,Comment,Aurora__,2025-11-03广东,蹲12号,,全运会2_Thread_06,蹲12号
全运会2.txt,Comment_06_076,Comment,高右林林林,2025-11-02广西,我也蹲,,全运会2_Thread_06,我也蹲
全运会2.txt,Comment_06_084,Comment,Hhhh,2025-11-02福建,蹲 12 日,,全运会2_Thread_06,蹲 12 日
全运会2.txt,Comment_06_088,Comment,月色生锈,2025-11-02广东,求求17号晚上,,全运会2_Thread_06,求求17号晚上
全运会2.txt,Post_07,Post,8,10/27/2025,,,全运会2_Thread_07,
全运会2.txt,Comment_07_001,Comment,weaqq,2025-11-16福建,想问下是在哪里买的票呀 想去看明年冠军赛 一般提前什么时候开票呀,,全运会2_Thread_07,想问下是在哪里买的票呀 想去看明年冠军赛 一般提前什么时候开票呀
全运会2.txt,Comment_07_003,Comment,今天想上班了啊,2025-11-16广西, 是在大麦买的哦 ，好像往年的冠军赛基本都是五月这样持续一周，然后四月中下旬这样就会陆续开票了,,全运会2_Thread_07, 是在大麦买的哦 ，好像往年的冠军赛基本都是五月这样持续一周，然后四月中下旬这样就会陆续开票了
全运会2.txt,Reply_07_005,Reply,weaqq,2025-11-16福建, 今天想上班了啊  好嘞好嘞 想问下票会不会不好抢呀,,全运会2_Thread_07, 今天想上班了啊 好嘞好嘞 想问下票会不会不好抢呀
全运会2.txt,Comment_07_007,Comment,今天想上班了啊,2025-11-16广西,  weaqq  这个抢票的话 是位置可以选择的（类似电影院选座一样）所以需要提前做好你想选择的区域的票，迅速点击下单，今年是比较难抢一些（因为巴奥） 但是也可以买到的 就看是什么位置,,全运会2_Thread_07,  weaqq 这个抢票的话 是位置可以选择的（类似电影院选座一样）所以需要提前做好你想选择的区域的票，迅速点击下单，今年是比较难抢一些（因为巴奥） 但是也可以买到的 就看是什么位置
全运会2.txt,Reply_07_009,Reply,weaqq,2025-11-16福建, 今天想上班了啊  好的好的谢谢呀,,全运会2_Thread_07, 今天想上班了啊 好的好的谢谢呀
全运会2.txt,Comment_07_011,Comment,木之本樱,2025-10-31广东,当时你是买的最后两天的票嘛，这次游泳是到周一，是不是要买周日跟周一的才能看到决赛啊,,全运会2_Thread_07,当时你是买的最后两天的票嘛，这次游泳是到周一，是不是要买周日跟周一的才能看到决赛啊
全运会2.txt,Comment_07_014,Comment,,2025-11-01广西,好像不是最后一天呢 是开赛后第一周的周末,,全运会2_Thread_07,好像不是最后一天呢 是开赛后第一周的周末
全运会2.txt,Comment_07_017,Comment,,2025-10-27广东,80好值，我买的200,,全运会2_Thread_07,80好值，我买的200
全运会2.txt,Comment_07_020,Comment,,2025-10-27广西,感觉之后会越来越贵,,全运会2_Thread_07,感觉之后会越来越贵
全运会2.txt,Comment_07_023,Comment,,2025-10-27广东,请教一下下高铁后的路线,,全运会2_Thread_07,请教一下下高铁后的路线
